date;mesocosm_ID;compartment;fish;warming;H;S;tmean15;date_c
20/04/2021;10;phyto;SB;W;0.438985651883735;17;16.1749967585089;28
20/04/2021;11;phyto;LB;W;0.727944701448146;19;16.859913405881;28
20/04/2021;12;phyto;SB;NW;0.80395657545994;21;13.0528411669368;28
20/04/2021;13;phyto;LB;W;0.301639899882041;15;16.6737272516786;28
20/04/2021;14;phyto;SB;NW;0.598210882201686;14;13.2635038203288;28
20/04/2021;15;phyto;SB;W;1.08674062849293;14;16.7694672377865;28
20/04/2021;16;phyto;NF;W;0.441489690726388;16;16.9147751794397;28
20/04/2021;17;phyto;LB;NW;0.16511298094988;13;13.2065038203288;28
20/04/2021;18;phyto;NF;NW;0.764783748465369;14;13.261152350081;28
20/04/2021;19;phyto;NF;W;0.396231926056889;15;16.5470201435517;28
20/04/2021;2;phyto;SB;W;0.730442843140834;17;16.3983088677935;28
20/04/2021;20;phyto;LB;NW;0.341294455002192;15;13.1383028478815;28
20/04/2021;21;phyto;NF;NW;0.489296191324063;16;13.3697175272054;28
20/04/2021;22;phyto;LB;W;0.296782249003764;15;16.5810886779347;28
20/04/2021;23;phyto;SB;NW;0.248227991786264;12;13.1789002083816;28
20/04/2021;24;phyto;SB;W;0.290158891576305;15;16.0730562630238;28
20/04/2021;3;phyto;LB;W;0.512120644120493;18;17.2043121092846;28
20/04/2021;4;phyto;LB;NW;0.426597781215951;17;13.7466438990507;28
20/04/2021;5;phyto;NF;NW;1.3858002019385;18;12.993489465154;28
20/04/2021;6;phyto;NF;W;0.835685400600689;16;16.5281083584163;28
20/04/2021;7;phyto;NF;NW;1.12334386306533;11;13.2397066450567;28
20/04/2021;8;phyto;NF;W;0.330299162920995;16;16.2985123871266;28
20/04/2021;9;phyto;LB;NW;0.907397307381107;13;13.0975698078259;28
18/05/2021;1;phyto;SB;NW;0.377129192330265;20;19.45779115536;56
18/05/2021;10;phyto;SB;W;0.322285782978097;20;22.4353584163001;56
18/05/2021;11;phyto;LB;W;0.651821660179395;22;23.009626765455;56
18/05/2021;12;phyto;SB;NW;0.944245986916964;19;19.2585137763371;56
18/05/2021;13;phyto;LB;W;0.651578773090948;19;22.9475554526511;56
18/05/2021;14;phyto;SB;NW;0.299813539804444;16;19.4891660106506;56
18/05/2021;15;phyto;SB;W;1.214390262681;13;23.0179018291271;56
18/05/2021;16;phyto;NF;W;0.649218316842088;21;23.0575172493633;56
18/05/2021;17;phyto;LB;NW;0.469197587959704;20;19.4109708265802;56
18/05/2021;18;phyto;NF;NW;0.946409057570175;18;19.4054109747627;56
18/05/2021;19;phyto;NF;W;0.767210533019459;17;22.8614892336189;56
18/05/2021;2;phyto;SB;W;1.09461347173111;19;22.6420639036814;56
18/05/2021;20;phyto;LB;NW;1.40894341970949;17;19.4052993748553;56
18/05/2021;21;phyto;NF;NW;0.305921454397618;13;19.4808138457976;56
18/05/2021;22;phyto;LB;W;0.75082889611457;18;22.8464758045844;56
18/05/2021;23;phyto;SB;NW;0.246543380183305;18;19.4686735355406;56
18/05/2021;24;phyto;SB;W;0.102293103046121;15;22.3830166705256;56
18/05/2021;3;phyto;LB;W;1.00486160686095;20;23.4104246353323;56
18/05/2021;4;phyto;LB;NW;0.328183815709583;18;19.9158701088215;56
18/05/2021;5;phyto;NF;NW;0.288860702825003;20;19.2460099560083;56
18/05/2021;6;phyto;NF;W;0.618839847750375;16;22.7722972910396;56
18/05/2021;7;phyto;NF;NW;0.528996994602213;20;19.5127508682565;56
18/05/2021;8;phyto;NF;W;0.723185095988952;22;22.5479157212318;56
18/05/2021;9;phyto;LB;NW;0.803637755297979;18;19.2671472563093;56
15/06/2021;1;phyto;SB;NW;0.880318522786317;19;25.2011407733272;84
15/06/2021;10;phyto;SB;W;0.831021509830826;20;28.4532949756888;84
15/06/2021;11;phyto;LB;W;1.33890252293197;17;29.0681180828896;84
15/06/2021;12;phyto;SB;NW;0.681950198210044;18;25.3473705419176;84
15/06/2021;13;phyto;LB;W;0.696954394404154;20;28.7352489002084;84
15/06/2021;14;phyto;SB;NW;0.531516803791497;19;25.4704946734599;84
15/06/2021;15;phyto;SB;W;0.766368349336135;16;28.9425758277379;84
15/06/2021;16;phyto;NF;W;0.730985279577548;13;28.8895123871267;84
15/06/2021;17;phyto;LB;NW;1.00601613854948;17;25.0787737902292;84
15/06/2021;18;phyto;NF;NW;0.564302991494623;18;25.2757256309331;84
15/06/2021;19;phyto;NF;W;0.833101198520779;14;28.6730787219264;84
15/06/2021;2;phyto;SB;W;0.78731627619131;17;28.6762241259551;84
15/06/2021;20;phyto;LB;NW;0.850743527127598;20;25.2624292660338;84
15/06/2021;21;phyto;NF;NW;0.156187467004077;15;25.2170213012271;84
15/06/2021;22;phyto;LB;W;0.875646348330166;19;28.7223959249826;84
15/06/2021;23;phyto;SB;NW;1.29190136413305;17;25.3154093540171;84
15/06/2021;24;phyto;SB;W;1.00649391038851;19;27.9096846492244;84
15/06/2021;3;phyto;LB;W;1.19509583036875;22;29.4216320907618;84
15/06/2021;4;phyto;LB;NW;0.797480754533371;18;25.7122530678398;84
15/06/2021;5;phyto;NF;NW;0.430146232740836;17;25.2206242185691;84
15/06/2021;6;phyto;NF;W;0.872427250431147;18;28.5986330169021;84
15/06/2021;7;phyto;NF;NW;0.58570751859338;18;25.451952303774;84
15/06/2021;8;phyto;NF;W;0.767026001400608;15;28.4220013892105;84
15/06/2021;9;phyto;LB;NW;0.591789831131515;19;24.9191120629775;84
