date;date_c;mesocosm_ID;fish;warming;binMid;binMin;binMax;biomass.L;binWidth;biomass.L.n;log10binMid;log10Biom;log10BiomNorm;tmean15;log10binMid.scaled
20/04/2021;28;1;SB;NW;2.32472086564697e-05;2.38418579101562e-07;4.62559987338378e-05;290.337748030303;4.60175801547362e-05;6309278.91153835;-4.63362918633829;2.4629035039526;6.79997972649691;13.1737355869414;-4.57565593409251
20/04/2021;28;1;SB;NW;0.00451023094857409;4.62559987338378e-05;0.00897420589841433;67.2200604;0.00892794989968049;7529.17087968937;-2.34580121929203;1.82749889836516;3.87674715386321;13.1737355869414;-2.28782796704626
20/04/2021;28;1;SB;NW;0.87503766624533;0.00897420589841433;1.74110112659224;1467.077253224;1.73212692069383;846.980227428336;-0.0579732522457746;3.16645298348577;2.92787327193756;13.1737355869414;0
20/04/2021;28;1;SB;NW;169.767563142226;1.74110112659224;337.794025157861;880.903256639836;336.052924031269;2.62132299303508;2.22985471480048;2.94492821554655;0.418520536952079;13.1737355869414;2.28782796704625
20/04/2021;28;1;SB;NW;32936.8970125789;337.794025157861;65536;1274.60852288714;65198.2059748421;0.0195497483991963;4.51768268184674;3.10537681813763;-1.70885882750309;13.1737355869414;4.57565593409251
20/04/2021;28;2;SB;W;2.32472086564697e-05;2.38418579101562e-07;4.62559987338378e-05;3431.69786002303;4.60175801547362e-05;74573627.0460939;-4.63362918633829;3.53550904389081;7.87258526643512;16.3983088677935;-4.57565593409251
20/04/2021;28;2;SB;W;0.00451023094857409;4.62559987338378e-05;0.00897420589841433;168.457722065455;0.00892794989968049;18868.5783363864;-2.34580121929203;2.22649092373833;4.27573917923637;16.3983088677935;-2.28782796704626
20/04/2021;28;2;SB;W;0.87503766624533;0.00897420589841433;1.74110112659224;613.512697238593;1.73212692069383;354.196156129738;-0.0579732522457746;2.78782355530034;2.54924384375213;16.3983088677935;0
20/04/2021;28;2;SB;W;169.767563142226;1.74110112659224;337.794025157861;1145.53963055081;336.052924031269;3.40880721051015;2.22985471480048;3.05901011843315;0.532602439838682;16.3983088677935;2.28782796704625
20/04/2021;28;2;SB;W;32936.8970125789;337.794025157861;65536;2156.051611382;65198.2059748421;0.033069186170766;4.51768268184674;3.33365915274389;-1.48057649289684;16.3983088677935;4.57565593409251
20/04/2021;28;3;LB;W;2.32472086564697e-05;2.38418579101562e-07;4.62559987338378e-05;923.903395692121;4.60175801547362e-05;20077183.3848163;-4.63362918633829;2.96562656330758;7.30270278585188;17.2043121092846;-4.57565593409251
20/04/2021;28;3;LB;W;0.00451023094857409;4.62559987338378e-05;0.00897420589841433;547.090868712727;0.00892794989968049;61278.4429639671;-2.34580121929203;2.73805946619262;4.78730772169067;17.2043121092846;-2.28782796704626
20/04/2021;28;3;LB;W;0.87503766624533;0.00897420589841433;1.74110112659224;254.133559097165;1.73212692069383;146.717631405075;-0.0579732522457746;2.4050620187236;2.16648230717539;17.2043121092846;0
20/04/2021;28;3;LB;W;169.767563142226;1.74110112659224;337.794025157861;1076.31169307261;336.052924031269;3.20280413025796;2.22985471480048;3.03193805848552;0.505530379891047;17.2043121092846;2.28782796704625
20/04/2021;28;3;LB;W;32936.8970125789;337.794025157861;65536;1773.00364629601;65198.2059748421;0.0271940557226399;4.51768268184674;3.24870962875637;-1.56552601688436;17.2043121092846;4.57565593409251
20/04/2021;28;4;LB;NW;2.32472086564697e-05;2.38418579101562e-07;4.62559987338378e-05;361.743925642424;4.60175801547362e-05;7860994.09021604;-4.63362918633829;2.5584012472351;6.8954774697794;13.7466438990507;-4.57565593409251
20/04/2021;28;4;LB;NW;0.00451023094857409;4.62559987338378e-05;0.00897420589841433;41.8383135418182;0.00892794989968049;4686.21733006314;-2.34580121929203;1.62157417026066;3.67082242575871;13.7466438990507;-2.28782796704626
20/04/2021;28;4;LB;NW;0.87503766624533;0.00897420589841433;1.74110112659224;817.597196776;1.73212692069383;472.019219266277;-0.0579732522457746;2.91253939376568;2.67395968221747;13.7466438990507;0
20/04/2021;28;4;LB;NW;169.767563142226;1.74110112659224;337.794025157861;1119.25184961511;336.052924031269;3.33058208864436;2.22985471480048;3.04892782074766;0.522520142153193;13.7466438990507;2.28782796704625
20/04/2021;28;4;LB;NW;32936.8970125789;337.794025157861;65536;3275.21320986141;65198.2059748421;0.0502347136840729;4.51768268184674;3.51523957695447;-1.29899606868626;13.7466438990507;4.57565593409251
20/04/2021;28;5;NF;NW;2.32472086564697e-05;2.38418579101562e-07;4.62559987338378e-05;985.980236448485;4.60175801547362e-05;21426164.3731174;-4.63362918633829;2.99386820978159;7.33094443232589;12.993489465154;-4.57565593409251
20/04/2021;28;5;NF;NW;0.00451023094857409;4.62559987338378e-05;0.00897420589841433;120.602367190303;0.00892794989968049;13508.4054621116;-2.34580121929203;2.08135583224523;4.13060408774328;12.993489465154;-2.28782796704626
20/04/2021;28;5;NF;NW;0.87503766624533;0.00897420589841433;1.74110112659224;399.995225635671;1.73212692069383;230.927203345727;-0.0579732522457746;2.60205480759682;2.36347509604861;12.993489465154;0
20/04/2021;28;5;NF;NW;169.767563142226;1.74110112659224;337.794025157861;630.239743292215;336.052924031269;1.87541812084805;2.22985471480048;2.79950578656929;0.273098107974817;12.993489465154;2.28782796704625
20/04/2021;28;5;NF;NW;32936.8970125789;337.794025157861;65536;679.298249154724;65198.2059748421;0.0104189714885229;4.51768268184674;2.83206049522753;-1.9821751504132;12.993489465154;4.57565593409251
